Signal,SCR,SCL
5.476,0.0,5.4753835964314215
5.4755,0.0,5.475967845396336
5.475,0.0,5.476552094361251
5.4745,0.0,5.477136343326166
5.474,0.0,5.477720592291082
5.4735,0.0,5.478304841255996
5.4745,0.0,5.478889090220911
5.4755,0.0,5.479473339185827
5.476,0.0,5.480057588150742
5.4765,0.0,5.480641837115656
5.476,0.0,5.4812260860805715
5.476,0.0,5.481810335045487
5.4765,0.0,5.482394584010402
5.4775,0.0,5.482978832975317
5.479,0.0,5.483563081940232
5.48,0.0,5.484147330905147
5.481,0.0,5.484731579870062
5.482,0.0,5.4853158288349775
5.4825,0.0,5.485900077799892
5.4825,0.0,5.486484326764807
5.484,0.0,5.487068575729722
5.4845,0.0,5.487652824694638
5.485,0.0,5.488237073659552
5.4865,0.0,5.488821322624467
5.4875,0.0,5.489405571589383
5.4875,0.0,5.489989820554298
5.4875,0.0,5.490574069519213
5.4875,0.0,5.4911583184841275
5.4875,0.0,5.491742567449043
5.488,0.0,5.492326816413958
5.489,0.0,5.492911065378873
5.489,0.0,5.493495314343788
5.4905,0.0,5.494079563308703
5.491,0.0,5.494663812273618
5.4905,0.0,5.4952480612385335
5.49,0.0,5.495832310203448
5.4895,0.0,5.496416559168363
5.491,0.0,5.497000808133278
5.491,0.0,5.497585057098194
5.4925,0.0,5.498169306063109
5.4935,0.0,5.498753555028023
5.494,0.0,5.499337803992939
5.495,0.0,5.499922052957854
5.4945,0.0,5.500506301922769
5.4955,0.0,5.5010905508876835
5.4975,0.0,5.501674799852599
5.4995,0.0,5.502259048817514
5.502,0.0,5.502843297782429
5.505,0.0,5.503427546747344
5.5065,0.0,5.504011795712259
5.5075,0.0,5.504596044677174
5.5085,0.0,5.5051802936420895
5.51,0.0,5.505764542607004
5.512,0.0,5.506348791571919
5.5135,0.0,5.506933040536834
5.516,0.0,5.50751728950175
5.5185,0.0,5.508101538466665
5.5205,0.0,5.508685787431579
5.522,0.0,5.509270036396495
5.5235,0.0,5.50985428536141
5.525,0.0,5.510438534326325
5.5275,0.0,5.5110227832912395
5.5305,0.0,5.511607032256155
5.5335,0.0,5.51219128122107
5.537,0.0,5.512775530185985
5.5385,0.0,5.5133597791509
5.541,0.0,5.513944028115815
5.543,0.0,5.51452827708073
5.5445,0.0,5.5151125260456455
5.5465,0.0,5.515696775010561
5.5485,0.0,5.516281023975475
5.5525,0.0,5.51686527294039
5.555,0.0,5.517449521905306
5.557,0.0,5.518033770870221
5.5585,0.0,5.518618019835135
5.559,0.0,5.519202268800051
5.561,0.0,5.519786517764966
5.563,0.0,5.520370766729881
5.5645,0.0,5.5209550156947955
5.5665,0.0,5.521539264659711
5.5685,0.0,5.522123513624626
5.57,0.0,5.522707762589541
5.5725,0.0,5.523292011554457
5.576,0.0,5.523876260519371
5.58,0.0,5.524460509484286
5.586,0.0,5.5250447584492015
5.5915,0.0,5.525629007414117
5.598,0.0,5.526213256379031
5.6045,0.0,5.526797505343946
5.6115,0.0,5.527381754308862
5.62,0.0,5.527966003273777
5.6285,0.0,5.528550252238691
5.637,0.0,5.529134501203607
5.6465,0.0,5.529718750168522
5.6565,0.0,5.530302999133437
5.667,0.0,5.530887248098352
5.6775,0.0,5.531471497063267
5.687,0.0,5.532055746028182
5.6965,0.0,5.532639994993097
5.706,0.0,5.533224243958013
5.7165,0.0,5.533808492922927
5.726,0.0,5.534392741887842
5.735,0.0,5.5349769908527575
5.7445,0.0,5.535561239817673
5.753,0.0,5.536145488782587
5.76,0.0,5.536729737747502
5.7665,0.0,5.536729737747502
5.7735,0.0,5.53807623565194
5.7805,0.0,5.539422733556377
5.787,0.0,5.540769231460814
5.794,0.0,5.542115729365252
5.7995,0.0,5.543462227269689
5.804,0.0,5.544808725174126
5.8075,0.0,5.546155223078563
5.812,0.0,5.547501720983001
5.8155,0.0,5.5488482188874375
5.8175,0.0,5.550194716791875
5.82,0.0,5.551541214696313
5.8245,0.0,5.552887712600749
5.8275,0.0,5.554234210505187
5.8295,0.0,5.555580708409624
5.83,0.0,5.556927206314062
5.8305,0.0,5.558273704218498
5.8315,0.0,5.559620202122936
5.832,0.0,5.5609667000273735
5.833,0.0,5.56231319793181
5.8345,0.0,5.563659695836248
5.835,0.0,5.565006193740685
5.8355,0.0,5.566352691645123
5.8355,0.0,5.567699189549559
5.836,0.0,5.569045687453997
5.836,0.0,5.570392185358434
5.8365,0.0,5.571738683262871
5.8365,0.0,5.5730851811673086
5.8375,0.0,5.574431679071746
5.8375,0.0,5.575778176976183
5.8375,0.0,5.57712467488062
5.835,0.0,5.578471172785058
5.8345,0.0,5.579817670689495
5.835,0.0,5.581164168593932
